"Date","Price","Open","High","Low","Vol.","Change %"
"06/18/2022","0.03773","0.03993","0.04077","0.03528","14.37M","-5.51%"
"06/17/2022","0.03993","0.03824","0.04108","0.03795","11.25M","4.39%"
"06/16/2022","0.03825","0.04192","0.04251","0.03746","13.19M","-8.74%"
"06/15/2022","0.04192","0.04010","0.04197","0.03612","18.72M","4.37%"
"06/14/2022","0.04016","0.03904","0.04039","0.03597","18.04M","3.27%"
"06/13/2022","0.03889","0.04179","0.04297","0.03698","24.82M","-7.20%"
"06/12/2022","0.04190","0.04436","0.04533","0.04115","16.26M","-5.47%"
"06/11/2022","0.04433","0.04644","0.04842","0.04320","15.33M","-4.48%"
"06/10/2022","0.04641","0.05008","0.05051","0.04588","10.37M","-7.33%"
"06/09/2022","0.05008","0.05013","0.05201","0.04959","6.50M","-0.09%"
"06/08/2022","0.05013","0.05226","0.05246","0.04967","7.35M","-4.08%"
"06/07/2022","0.05226","0.05315","0.05389","0.04904","8.58M","-1.73%"
"06/06/2022","0.05318","0.05108","0.05451","0.05097","8.45M","4.11%"
"06/05/2022","0.05108","0.05059","0.05198","0.04957","8.16M","0.98%"
"06/04/2022","0.05059","0.04967","0.05277","0.04833","10.36M","1.85%"
"06/03/2022","0.04967","0.05177","0.05287","0.04850","8.62M","-3.88%"
"06/02/2022","0.05168","0.05014","0.05272","0.04914","15.07M","3.05%"
"06/01/2022","0.05014","0.05329","0.05607","0.04944","19.76M","-5.91%"
"05/31/2022","0.05329","0.05352","0.05398","0.05142","10.17M","-0.42%"
"05/30/2022","0.05352","0.04912","0.05363","0.04843","13.92M","8.96%"
"05/29/2022","0.04912","0.04794","0.04943","0.04641","7.15M","2.46%"
"05/28/2022","0.04794","0.04694","0.04934","0.04610","7.41M","2.33%"
"05/27/2022","0.04685","0.04855","0.04892","0.04549","13.15M","-2.81%"
"05/26/2022","0.04820","0.05194","0.05288","0.04568","11.00M","-7.21%"
"05/25/2022","0.05194","0.05387","0.05457","0.05061","14.58M","-3.06%"
"05/24/2022","0.05358","0.05515","0.05582","0.05156","12.07M","-2.72%"
"05/23/2022","0.05508","0.05940","0.05940","0.05439","17.42M","-7.26%"
"05/22/2022","0.05940","0.05246","0.06653","0.05226","21.64M","13.23%"
"05/21/2022","0.05246","0.05312","0.05397","0.05177","6.79M","-1.30%"
"05/20/2022","0.05315","0.05540","0.05629","0.05226","7.89M","-4.06%"
"05/19/2022","0.05540","0.05334","0.05673","0.05160","10.94M","3.84%"
"05/18/2022","0.05335","0.06147","0.06196","0.05329","15.55M","-13.17%"
"05/17/2022","0.06144","0.05844","0.06291","0.05833","15.89M","5.01%"
"05/16/2022","0.05851","0.06671","0.06679","0.05712","31.33M","-12.20%"
"05/15/2022","0.06664","0.05649","0.06990","0.05378","22.15M","17.93%"
"05/14/2022","0.05651","0.05728","0.06365","0.05069","69.29M","-0.51%"
"05/13/2022","0.05680","0.03846","0.05908","0.03846","59.38M","47.67%"
"05/12/2022","0.03846","0.04922","0.05089","0.03669","66.20M","-21.76%"
"05/11/2022","0.04916","0.06079","0.06164","0.04629","48.79M","-19.12%"
"05/10/2022","0.06079","0.05774","0.06501","0.05599","51.08M","5.27%"
"05/09/2022","0.05774","0.07574","0.07672","0.05750","63.27M","-23.73%"
"05/08/2022","0.07571","0.08047","0.08090","0.07538","24.33M","-5.91%"
"05/07/2022","0.08047","0.08319","0.08349","0.07961","19.23M","-3.28%"
"05/06/2022","0.08319","0.08362","0.08416","0.08103","24.92M","-0.51%"
"05/05/2022","0.08362","0.09182","0.09231","0.08270","28.71M","-8.93%"
"05/04/2022","0.09182","0.08752","0.09295","0.08726","15.28M","4.73%"
"05/03/2022","0.08767","0.09207","0.09212","0.08699","18.33M","-4.78%"
"05/02/2022","0.09207","0.08924","0.09428","0.08827","28.21M","3.17%"
"05/01/2022","0.08924","0.08895","0.09115","0.08677","23.32M","0.33%"
"04/30/2022","0.08895","0.08907","0.09146","0.08330","32.10M","-0.14%"
"04/29/2022","0.08907","0.09463","0.09516","0.08865","19.79M","-5.88%"
"04/28/2022","0.09463","0.09235","0.09522","0.09138","17.46M","2.47%"
"04/27/2022","0.09234","0.08886","0.09306","0.08812","17.79M","3.92%"
"04/26/2022","0.08886","0.09542","0.09622","0.08781","27.72M","-6.85%"
"04/25/2022","0.09539","0.09443","0.09733","0.08985","45.15M","0.92%"
"04/24/2022","0.09452","0.09422","0.09612","0.09360","24.15M","0.32%"
"04/23/2022","0.09422","0.09637","0.09691","0.09365","21.49M","-2.23%"
"04/22/2022","0.09637","0.09850","0.10217","0.09592","30.46M","-2.19%"
"04/21/2022","0.09853","0.10059","0.10335","0.09639","25.87M","-2.04%"
"04/20/2022","0.10059","0.10136","0.10334","0.09881","27.48M","-0.76%"
"04/19/2022","0.10136","0.09807","0.10170","0.09721","21.43M","3.36%"
"04/18/2022","0.09807","0.09706","0.09821","0.09273","21.35M","0.96%"
"04/17/2022","0.09713","0.10110","0.10231","0.09688","11.44M","-3.95%"
"04/16/2022","0.10113","0.10120","0.10174","0.09971","9.09M","-0.13%"
"04/15/2022","0.10126","0.09893","0.10131","0.09845","11.22M","2.35%"
"04/14/2022","0.09893","0.10246","0.10335","0.09771","12.77M","-3.46%"
"04/13/2022","0.10249","0.09868","0.10252","0.09783","14.11M","3.94%"
"04/12/2022","0.09861","0.09477","0.09997","0.09414","22.32M","4.05%"
"04/11/2022","0.09477","0.10289","0.10317","0.09428","21.70M","-7.89%"
"04/10/2022","0.10289","0.10600","0.10649","0.10269","13.07M","-2.94%"
"04/09/2022","0.10600","0.10167","0.10667","0.10153","24.56M","4.26%"
"04/08/2022","0.10167","0.10728","0.10756","0.10088","21.08M","-5.23%"
"04/07/2022","0.10728","0.10337","0.10776","0.10154","28.97M","3.74%"
"04/06/2022","0.10341","0.11454","0.11480","0.10325","34.19M","-9.66%"
"04/05/2022","0.11447","0.11825","0.11979","0.11418","19.74M","-3.25%"
"04/04/2022","0.11832","0.12308","0.12314","0.11360","25.21M","-3.87%"
"04/03/2022","0.12308","0.12195","0.12421","0.12016","19.93M","0.93%"
"04/02/2022","0.12195","0.12293","0.12582","0.12128","24.69M","-0.80%"
"04/01/2022","0.12293","0.11846","0.12369","0.11552","43.93M","3.77%"
"03/31/2022","0.11846","0.12264","0.12762","0.11556","41.79M","-3.41%"
"03/30/2022","0.12264","0.12219","0.12437","0.11790","48.75M","0.43%"
"03/29/2022","0.12211","0.11285","0.12550","0.11274","59.59M","8.32%"
"03/28/2022","0.11273","0.11767","0.12056","0.11083","48.91M","-4.20%"
"03/27/2022","0.11768","0.10925","0.11882","0.10865","35.37M","7.72%"
"03/26/2022","0.10925","0.10766","0.10925","0.10639","10.69M","1.47%"
"03/25/2022","0.10766","0.10893","0.11065","0.10567","26.16M","-1.15%"
"03/24/2022","0.10892","0.10884","0.11750","0.10684","43.30M","0.07%"
"03/23/2022","0.10884","0.10831","0.10971","0.10656","22.34M","0.50%"
"03/22/2022","0.10831","0.10672","0.11276","0.10447","39.89M","1.44%"
"03/21/2022","0.10677","0.09926","0.11000","0.09680","29.04M","7.56%"
"03/20/2022","0.09926","0.10126","0.10154","0.09827","14.52M","-1.99%"
"03/19/2022","0.10128","0.10002","0.10275","0.09960","12.25M","1.26%"
"03/18/2022","0.10002","0.09834","0.10088","0.09616","13.15M","1.71%"
"03/17/2022","0.09834","0.09895","0.09917","0.09646","10.34M","-0.63%"
"03/16/2022","0.09896","0.09439","0.09940","0.09290","15.30M","4.85%"
"03/15/2022","0.09439","0.09489","0.09532","0.09088","7.47M","-0.53%"
"03/14/2022","0.09489","0.09152","0.09514","0.09053","9.66M","3.68%"
"03/13/2022","0.09152","0.09339","0.09480","0.09096","5.20M","-2.00%"
"03/12/2022","0.09339","0.09361","0.09547","0.09333","5.12M","-0.25%"
"03/11/2022","0.09362","0.09664","0.09672","0.09287","14.77M","-3.13%"
"03/10/2022","0.09664","0.10088","0.10148","0.09391","17.65M","-4.23%"
"03/09/2022","0.10091","0.09533","0.10241","0.09529","17.06M","5.85%"
"03/08/2022","0.09533","0.09357","0.09620","0.09310","15.82M","1.88%"
"03/07/2022","0.09357","0.09557","0.09816","0.09211","14.68M","-2.09%"
"03/06/2022","0.09556","0.09784","0.09834","0.09526","8.73M","-2.33%"
"03/05/2022","0.09784","0.09613","0.09821","0.09391","9.19M","1.78%"
"03/04/2022","0.09613","0.10297","0.10315","0.09499","19.12M","-6.64%"
"03/03/2022","0.10297","0.10650","0.10707","0.10105","13.60M","-3.31%"
"03/02/2022","0.10650","0.10979","0.11002","0.10471","20.35M","-2.92%"
"03/01/2022","0.10970","0.10827","0.10988","0.10449","25.57M","1.23%"
"02/28/2022","0.10836","0.10006","0.10837","0.09809","19.77M","8.28%"
"02/27/2022","0.10008","0.10112","0.10449","0.09770","20.08M","-1.03%"
