"Date","Price","Open","High","Low","Vol.","Change %"
"08/05/2022","1.2580","1.1880","1.2650","1.1870","11.33M","5.89%"
"08/04/2022","1.1880","1.1740","1.2080","1.1600","10.74M","1.19%"
"08/03/2022","1.1740","1.1860","1.2320","1.1520","13.48M","-1.18%"
"08/02/2022","1.1880","1.2560","1.2670","1.1610","25.26M","-5.41%"
"08/01/2022","1.2560","1.3290","1.3650","1.2320","16.11M","-5.63%"
"07/31/2022","1.3310","1.3060","1.4470","1.2790","23.20M","1.91%"
"07/30/2022","1.3060","1.3000","1.3840","1.2670","13.99M","0.46%"
"07/29/2022","1.3000","1.3140","1.3260","1.2500","15.71M","-1.14%"
"07/28/2022","1.3150","1.2560","1.3530","1.2330","25.20M","4.78%"
"07/27/2022","1.2550","1.1120","1.2590","1.0900","17.18M","12.86%"
"07/26/2022","1.1120","1.1070","1.1120","1.0670","12.67M","0.72%"
"07/25/2022","1.1040","1.2040","1.2060","1.1040","14.39M","-8.23%"
"07/24/2022","1.2030","1.1630","1.2580","1.1620","25.79M","3.35%"
"07/23/2022","1.1640","1.1750","1.2000","1.1280","20.17M","-0.77%"
"07/22/2022","1.1730","1.0530","1.1990","1.0390","33.07M","11.40%"
"07/21/2022","1.0530","1.0400","1.0570","1.0040","9.95M","1.25%"
"07/20/2022","1.0400","1.0770","1.1020","1.0280","18.47M","-3.53%"
"07/19/2022","1.0780","1.0560","1.0930","1.0250","16.13M","1.99%"
"07/18/2022","1.0570","0.9850","1.0690","0.9830","15.76M","7.42%"
"07/17/2022","0.9840","1.0080","1.0240","0.9790","10.08M","-2.38%"
"07/16/2022","1.0080","0.9750","1.0140","0.9520","9.37M","3.38%"
"07/15/2022","0.9750","0.9710","0.9930","0.9590","8.33M","0.41%"
"07/14/2022","0.9710","0.9500","0.9760","0.9150","10.41M","2.21%"
"07/13/2022","0.9500","0.9180","0.9560","0.8890","9.79M","3.60%"
"07/12/2022","0.9170","0.9380","0.9500","0.9160","5.47M","-2.45%"
"07/11/2022","0.9400","1.0040","1.0050","0.9350","5.41M","-6.28%"
"07/10/2022","1.0030","1.0380","1.0390","0.9970","4.10M","-3.37%"
"07/09/2022","1.0380","1.0130","1.0480","1.0130","4.12M","2.37%"
"07/08/2022","1.0140","1.0310","1.0690","1.0040","9.60M","-1.74%"
"07/07/2022","1.0320","0.9990","1.0380","0.9890","6.27M","3.30%"
"07/06/2022","0.9990","0.9710","1.0100","0.9610","7.50M","2.78%"
"07/05/2022","0.9720","0.9850","1.0010","0.9330","11.50M","-1.42%"
"07/04/2022","0.9860","0.9440","0.9880","0.9200","6.64M","4.56%"
"07/03/2022","0.9430","0.9380","0.9490","0.9140","5.13M","0.64%"
"07/02/2022","0.9370","0.9110","0.9450","0.9000","5.08M","2.97%"
"07/01/2022","0.9100","0.9260","0.9500","0.8910","8.88M","-1.62%"
"06/30/2022","0.9250","0.9370","0.9390","0.8720","9.71M","-1.18%"
"06/29/2022","0.9360","0.9450","0.9570","0.9220","8.07M","-0.85%"
"06/28/2022","0.9440","0.9850","1.0040","0.9420","9.89M","-3.97%"
"06/27/2022","0.9830","0.9900","1.0280","0.9720","11.10M","-0.71%"
"06/26/2022","0.9900","1.0090","1.0380","0.9880","9.50M","-1.69%"
"06/25/2022","1.0070","1.0070","1.0250","0.9710","6.54M","0.30%"
"06/24/2022","1.0040","0.9750","1.0190","0.9750","12.49M","3.19%"
"06/23/2022","0.9730","0.9250","0.9770","0.9220","10.15M","5.19%"
"06/22/2022","0.9250","0.9630","0.9630","0.9200","11.91M","-4.05%"
"06/21/2022","0.9640","0.9620","1.0050","0.9460","12.52M","0.31%"
"06/20/2022","0.9610","0.9690","0.9850","0.9240","10.57M","-0.62%"
"06/19/2022","0.9670","0.8890","0.9760","0.8610","13.53M","9.02%"
"06/18/2022","0.8870","0.9370","0.9500","0.8160","22.31M","-5.44%"
"06/17/2022","0.9380","0.9120","0.9630","0.9040","12.21M","2.96%"
"06/16/2022","0.9110","1.0090","1.0220","0.9020","18.58M","-9.62%"
"06/15/2022","1.0080","0.9400","1.0140","0.8560","31.06M","6.89%"
"06/14/2022","0.9430","0.9140","0.9600","0.8530","27.10M","2.72%"
"06/13/2022","0.9180","1.0300","1.0440","0.8810","44.53M","-11.05%"
"06/12/2022","1.0320","1.1180","1.1260","1.0320","18.41M","-7.61%"
"06/11/2022","1.1170","1.1840","1.2140","1.1020","13.27M","-5.66%"
"06/10/2022","1.1840","1.2390","1.2520","1.1690","11.60M","-4.52%"
"06/09/2022","1.2400","1.2540","1.2760","1.2330","7.86M","-1.12%"
"06/08/2022","1.2540","1.2860","1.3060","1.2430","10.46M","-2.41%"
"06/07/2022","1.2850","1.3030","1.3240","1.2220","12.21M","-1.38%"
"06/06/2022","1.3030","1.2690","1.3330","1.2640","9.30M","2.52%"
"06/05/2022","1.2710","1.2850","1.2940","1.2580","5.44M","-1.09%"
"06/04/2022","1.2850","1.2670","1.2940","1.2430","6.09M","1.58%"
"06/03/2022","1.2650","1.2940","1.3010","1.2350","8.32M","-2.17%"
"06/02/2022","1.2930","1.2660","1.2990","1.2470","11.18M","2.29%"
"06/01/2022","1.2640","1.3820","1.4050","1.2460","20.07M","-8.41%"
"05/31/2022","1.3800","1.3870","1.3990","1.3310","16.52M","-0.50%"
"05/30/2022","1.3870","1.2940","1.4000","1.2830","14.13M","7.19%"
"05/29/2022","1.2940","1.2560","1.2950","1.2310","7.98M","3.03%"
"05/28/2022","1.2560","1.2150","1.2630","1.2070","9.08M","3.54%"
"05/27/2022","1.2130","1.2390","1.2600","1.1910","19.31M","-2.02%"
"05/26/2022","1.2380","1.3230","1.3410","1.1950","22.10M","-6.57%"
"05/25/2022","1.3250","1.3440","1.3710","1.3060","12.82M","-1.49%"
"05/24/2022","1.3450","1.3080","1.3570","1.2750","13.41M","2.99%"
"05/23/2022","1.3060","1.3530","1.4300","1.2940","18.55M","-3.76%"
"05/22/2022","1.3570","1.3060","1.3690","1.2950","11.96M","3.91%"
"05/21/2022","1.3060","1.2740","1.3240","1.2490","10.27M","2.51%"
"05/20/2022","1.2740","1.3210","1.3470","1.2470","13.23M","-3.41%"
"05/19/2022","1.3190","1.2670","1.3360","1.2290","16.51M","4.19%"
"05/18/2022","1.2660","1.3770","1.3900","1.2620","13.70M","-8.06%"
"05/17/2022","1.3770","1.3180","1.3940","1.3140","15.40M","4.56%"
"05/16/2022","1.3170","1.4070","1.4070","1.2820","19.17M","-6.33%"
"05/15/2022","1.4060","1.3520","1.4090","1.3110","14.45M","4.07%"
"05/14/2022","1.3510","1.3460","1.3800","1.2520","18.48M","0.82%"
"05/13/2022","1.3400","1.2730","1.4570","1.2610","31.38M","5.43%"
"05/12/2022","1.2710","1.4080","1.4520","1.1160","72.94M","-9.28%"
"05/11/2022","1.4010","1.7120","1.7350","1.3430","56.02M","-18.40%"
"05/10/2022","1.7170","1.5940","1.8140","1.5940","50.67M","9.43%"
"05/09/2022","1.5690","1.9510","1.9750","1.5290","40.45M","-19.50%"
"05/08/2022","1.9490","1.9780","1.9910","1.9320","12.98M","-1.42%"
"05/07/2022","1.9770","2.0250","2.0490","1.9340","12.34M","-2.32%"
"05/06/2022","2.0240","2.0130","2.0460","1.9430","16.85M","0.30%"
"05/05/2022","2.0180","2.2270","2.2500","1.9960","22.89M","-9.63%"
"05/04/2022","2.2330","2.0550","2.2340","2.0460","15.40M","8.77%"
"05/03/2022","2.0530","2.1010","2.1230","2.0210","10.16M","-2.10%"
"05/02/2022","2.0970","2.1090","2.1490","2.0350","15.25M","-0.57%"
"05/01/2022","2.1090","2.0140","2.1110","1.9990","14.06M","4.77%"
"04/30/2022","2.0130","2.2740","2.2880","1.9210","18.63M","-11.40%"
"04/29/2022","2.2720","2.3150","2.3780","2.2320","22.14M","-1.82%"
"04/28/2022","2.3140","2.2540","2.3540","2.2440","17.31M","2.71%"
