"Date","Price","Open","High","Low","Vol.","Change %"
"03/18/2022","18.950","18.762","19.190","18.140","85.77M","1.00%"
"03/17/2022","18.762","19.062","19.290","18.640","419.77K","-1.51%"
"03/16/2022","19.050","17.825","19.184","17.700","165.04M","6.96%"
"03/15/2022","17.810","17.677","18.060","17.072","71.67M","0.62%"
"03/14/2022","17.700","17.216","17.840","17.016","82.60M","2.85%"
"03/13/2022","17.210","18.119","18.390","17.140","86.26M","-5.13%"
"03/12/2022","18.140","17.703","18.710","17.694","119.22M","2.43%"
"03/11/2022","17.710","16.956","18.470","16.710","169.59M","4.36%"
"03/10/2022","16.970","17.850","17.930","16.700","86.44M","-4.93%"
"03/09/2022","17.850","16.977","18.070","16.900","101.96M","5.12%"
"03/08/2022","16.980","16.435","17.250","16.320","105.89M","3.41%"
"03/07/2022","16.420","16.970","17.130","16.030","121.60M","-3.24%"
"03/06/2022","16.970","17.309","17.564","16.528","320.23K","-2.08%"
"03/05/2022","17.330","16.777","17.789","16.211","86.93M","3.30%"
"03/04/2022","16.777","18.029","18.060","16.509","498.53K","-6.95%"
"03/03/2022","18.029","18.608","18.651","17.790","7.92M","-3.12%"
"03/02/2022","18.610","18.887","19.246","18.377","8.79M","-1.43%"
"03/01/2022","18.881","18.965","19.722","18.351","13.02M","-0.44%"
"02/28/2022","18.965","17.526","19.087","16.650","816.62K","8.48%"
"02/27/2022","17.482","18.002","18.700","17.100","10.29M","-2.83%"
"02/26/2022","17.991","17.277","18.760","17.208","11.52M","4.13%"
"02/25/2022","17.277","16.182","17.525","15.817","506.50K","6.90%"
"02/24/2022","16.162","15.960","16.700","14.058","24.63M","1.27%"
"02/23/2022","15.960","16.605","17.500","15.930","10.66M","-3.97%"
"02/22/2022","16.619","16.189","16.690","15.820","8.83M","2.71%"
"02/21/2022","16.181","16.905","17.710","16.030","11.98M","-4.31%"
"02/20/2022","16.910","17.878","17.878","16.711","7.01M","-5.28%"
"02/19/2022","17.852","17.821","18.210","17.350","3.72M","0.12%"
"02/18/2022","17.831","18.190","18.580","17.640","6.57M","-1.87%"
"02/17/2022","18.171","19.762","20.006","17.851","8.43M","-7.96%"
"02/16/2022","19.742","20.170","20.180","19.071","6.22M","-2.12%"
"02/15/2022","20.170","18.715","20.321","18.663","5.79M","7.86%"
"02/14/2022","18.701","18.756","18.931","18.030","5.42M","-0.21%"
"02/13/2022","18.741","18.820","19.274","18.391","4.97M","-0.32%"
"02/12/2022","18.801","18.972","19.431","18.287","6.91M","-1.00%"
"02/11/2022","18.991","20.502","20.731","18.562","771.19K","-7.36%"
"02/10/2022","20.500","21.963","22.430","20.500","10.53M","-6.53%"
"02/09/2022","21.932","21.648","22.221","21.060","5.65M","1.39%"
"02/08/2022","21.631","22.354","23.141","21.091","11.33M","-3.24%"
