,Date,returns_BNB_USD,returns_BTC_USD,returns_Dogecoin,returns_Ethereum,returns_Litecoin,returns_NEO_USD,returns_NXT_USD,returns_PPC_USD,returns_Stellar,returns_Tether,returns_TRX_USD,returns_XEM_USD,returns_XRP
117,2022-07-25,-0.0642,-0.0565,-0.0828,-0.0999,-0.07519999999999999,-0.1016,-0.2463,-0.0089,-0.0663,-0.0001,-0.047599999999999996,-0.0828,-0.0637
118,2022-07-24,0.0089,0.0059,-0.006999999999999999,0.031400000000000004,0.0362,0.0203,0.0,0.0246,0.0147,0.0001,-0.0021,-0.0332,-0.002
119,2022-07-23,-0.011399999999999999,-0.0101,0.009899999999999999,0.0096,0.0059,-0.0434,0.0,-0.0045000000000000005,-0.0026,0.0,-0.0004,0.0608,0.004699999999999999
120,2022-07-22,-0.0124,-0.0206,-0.0377,-0.0259,-0.0348,0.0644,0.0,0.0,-0.0151,-0.0001,-0.015300000000000001,-0.030899999999999997,-0.025
121,2022-07-21,0.0279,-0.0025,-0.0009,0.0362,0.0152,0.0125,-0.0296,-0.0529,0.0144,0.0001,0.0079,0.0206,0.011699999999999999
122,2022-07-20,-0.0383,-0.008100000000000001,0.0149,-0.0148,-0.0131,-0.07150000000000001,0.0513,0.0574,-0.0556,0.0,-0.023399999999999997,-0.0808,-0.028999999999999998
123,2022-07-19,0.0151,0.040999999999999995,0.020099999999999996,-0.026000000000000002,-0.0121,0.0096,-0.0286,-0.022400000000000003,0.037000000000000005,0.0001,0.002,0.1612,0.021099999999999997
124,2022-07-18,0.0678,0.0816,0.0737,0.18460000000000001,0.0528,0.1166,0.105,0.0361,0.0725,0.0,0.0233,0.1069,0.0658
125,2022-07-17,-0.008,-0.0209,-0.0206,-0.0134,0.0111,0.0053,0.0,0.0,-0.0269,0.0,-0.0218,-0.027999999999999997,-0.021
126,2022-07-16,0.0478,0.0196,0.0227,0.1016,0.0641,0.0472,0.0,0.013300000000000001,0.020499999999999997,0.0001,0.028300000000000002,0.0329,0.049400000000000006
127,2022-07-15,0.0,0.0116,0.008199999999999999,0.0321,0.009399999999999999,0.0165,0.0,0.0,0.0018,0.0004,0.0037,0.0143,0.0012
128,2022-07-14,0.0338,0.016399999999999998,0.0077,0.0689,0.0345,0.016200000000000003,0.0,0.0933,0.0171,-0.0001,0.0078000000000000005,0.0277,0.030699999999999998
129,2022-07-13,0.0453,0.0484,0.0363,0.07440000000000001,0.0473,0.0613,0.0,-0.0168,0.049699999999999994,0.0005,0.0254,0.0296,0.0385
130,2022-07-12,-0.0226,-0.0318,-0.0319,-0.0528,-0.0279,-0.0353,0.0,-0.2518,-0.0098,-0.0003,-0.0017000000000000001,-0.0026,-0.0108
131,2022-07-11,-0.0379,-0.0436,-0.0816,-0.0608,-0.0654,-0.0949,0.0,0.0,-0.0558,-0.0003,-0.0429,-0.0673,-0.031400000000000004
132,2022-07-10,-0.0362,-0.0334,-0.0321,-0.0407,-0.0362,-0.0127,0.0,0.0,-0.0473,0.0,-0.0311,-0.037000000000000005,-0.0565
133,2022-07-09,0.0108,-0.0011,0.005699999999999999,0.0005,0.0546,0.024900000000000002,0.0,0.0,-0.0043,0.0002,0.0109,0.015600000000000001,0.0118
134,2022-07-08,-0.0029,-0.0009,-0.021400000000000002,-0.0176,-0.015700000000000002,-0.015,0.0,0.0,-0.006,0.0,0.0049,-0.0063,-0.0058
135,2022-07-07,0.0126,0.051699999999999996,0.031,0.0436,0.0346,0.08839999999999999,0.1007,0.0,0.0414,0.0004,0.017,0.0276,0.031
136,2022-07-06,0.032,0.0192,0.0194,0.0463,0.011899999999999999,0.0168,0.0,0.0,0.0124,0.0001,-0.0088,0.0066,0.0206
137,2022-07-05,-0.0009,-0.0027,-0.0311,-0.015,-0.0473,-0.0256,0.2231,0.0,-0.0288,0.0,0.0123,-0.04,-0.0087
138,2022-07-04,0.0552,0.047400000000000005,0.0315,0.0718,0.026099999999999998,0.0364,0.0,0.0,0.0191,0.0,0.0152,-0.0233,0.0222
139,2022-07-03,0.0046,0.0040999999999999995,0.0087,0.006999999999999999,0.0069,0.0048,0.0,0.0,0.0053,0.0,0.024300000000000002,-0.0915,0.0189
140,2022-07-02,0.006500000000000001,-0.0029,0.0032,0.0072,-0.011699999999999999,0.0033,0.0,0.0,-0.0089,0.0,-0.0055000000000000005,0.2365,0.0049
141,2022-07-01,-0.011899999999999999,-0.0327,0.0014000000000000002,-0.0095,-0.049800000000000004,-0.028999999999999998,-0.15259999999999999,0.0,-0.0246,0.0,0.0059,-0.008,-0.054400000000000004
142,2022-06-30,-0.0014000000000000002,-0.0084,-0.0458,-0.0277,0.0037,-0.0175,-0.016,0.0,0.019299999999999998,0.0001,-0.0025,-0.020099999999999996,0.008
143,2022-06-29,-0.0326,-0.0079,0.052300000000000006,-0.038900000000000004,0.0176,-0.034300000000000004,0.0059,0.0,-0.0368,-0.0001,-0.015300000000000001,-0.022099999999999998,-0.023799999999999998
144,2022-06-28,-0.0282,-0.0218,-0.0825,-0.0394,-0.0559,-0.0599,0.0,0.0475,-0.0375,-0.0001,-0.016,-0.046799999999999994,-0.045
145,2022-06-27,-0.0013,-0.0166,-0.0131,-0.006,-0.0143,0.0015,0.0,0.0,-0.0126,-0.0009,0.03,0.0281,-0.0159
146,2022-06-26,-0.023799999999999998,-0.0195,0.0647,-0.0352,-0.038,-0.0246,0.0,0.0,-0.052000000000000005,0.0005,0.0031,-0.049699999999999994,-0.0231
147,2022-06-25,-0.0021,0.0121,0.023799999999999998,0.0137,0.0545,0.009399999999999999,0.0,0.0,-0.0060999999999999995,0.0003,-0.0161,0.0048,0.0004
148,2022-06-24,0.049800000000000004,0.0075,0.0464,0.0707,0.002,0.0352,0.0,0.1882,0.08259999999999999,0.0002,0.032799999999999996,0.023700000000000002,0.0944
149,2022-06-23,0.0687,0.056600000000000004,0.0371,0.0907,0.0697,0.0484,-0.0538,-0.22390000000000002,0.0449,0.0001,0.0111,0.0388,0.04190000000000001
150,2022-06-22,-0.0273,-0.0362,-0.0625,-0.0683,-0.0269,-0.0364,-0.039,0.0,-0.014199999999999999,-0.0001,-0.0285,-0.0302,-0.0218
151,2022-06-21,0.016200000000000003,0.0068000000000000005,0.09539999999999998,-0.0021,0.013999999999999999,0.006999999999999999,0.0,0.1143,0.0129,0.0001,0.06269999999999999,0.0101,0.0215
